	Input x	Input y	KS-d	p-value
251	('LCA', 'Cement  E  ozone depletion  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
252	('LCA', 'Concrete  H  particulate matter formation  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
253	('LCA', 'Concrete  E  freshwater eutrophication  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
254	('LCA', 'Concrete  H  fossil depletion  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
255	('LCA', 'Concrete  I  photochemical oxidant formation  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
256	('LCA', 'Concrete  H  human toxicity  CF [points/m3]')	Alternative B	0.5	0.16782134274394334
257	('LCA', 'Concrete  E  freshwater ecotoxicity  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
258	('LCA', 'Concrete  I  metal depletion  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
259	('LCA', 'Concrete  E  urban land occupation  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
260	('LCA', 'Concrete  H  metal depletion  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
